Locus	Allele	Group.0	Group.1
A	HLA-Aw0-11-0-0-0-0-0-10-0-4-0-2-0-2-0-1-0	0	1
A	HLA-Aw0-43-0-0-0-0-0-4-0-3-0-2-0-1-0-1-0	0	2
A	HLA-Aw0-5-0-0-0-0-0-50-0-3-0-2-0-1-0-1-0	0	1
A	HLA-Aw0-7-0-0-0-0-0-4-0-3-0-2-0-1-0-1-0	1	1
A	HLA-Aw0-8-0-0-0-0-0-26-0-9-0-2-0-2-0-1-0	11	2
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	0
C	HLA-Cw0-1-0-0-0-0-0-11-0-4-0-1-0-1-0-1-0	1	0
C	HLA-Cw0-1-0-0-0-0-0-21-0-1-0-1-0-1-0-1-0	9	4
C	HLA-Cw0-1-0-0-0-0-0-4-0-3-0-1-0-1-0-1-0	8	4
C	HLA-Cw0-4-0-0-0-0-0-23-0-3-0-1-0-1-0-1-0	4	0
C	HLA-Cw0-5-0-0-0-0-0-6-0-2-0-1-0-1-0-1-0	2	1
C	HLA-Cw0-5-0-0-0-0-0-9-0-6-0-1-0-1-0-0-0	0	1
C	HLA-Cw0-8-0-0-0-0-0-4-0-3-0-1-0-1-0-1-0	3	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-1-0-0-0-0-0-1-0-2-0-1-0-0-0	3	0
B	HLA-Bw0-1-0-0-0-0-0-18-0-1-0-1-0-0-0	1	0
B	HLA-Bw0-1-0-0-0-0-0-24-0-11-0-1-0-0-0	0	1
B	HLA-Bw0-3-0-0-0-0-0-7-0-6-0-1-0-0-0	3	1
B	HLA-Bw0-6-0-0-0-0-0-3-0-9-0-1-0-0-0	3	3
DRB1	HLA-DRB1w0-0-0-0-0-15-0-0-0-0-0-0-0	0	1
DRB1	HLA-DRB1w0-3-0-0-0-1-0-2-0-4-0-1-0	7	6
DRB1	HLA-DRB1w0-3-0-0-0-2-0-5-0-3-0-1-0	3	1
DRB1	HLA-DRB1w0-6-0-0-0-4-0-2-0-1-0-1-0	3	2
DRB1	HLA-DRB1w0-9-0-0-0-47-0-2-0-1-0-1-0	8	5
DQB1	HLA-DQB1w0-2-0-0-0-39-0-2-0-1-0-1-0	3	0
DQB1	HLA-DQB1w0-5-0-0-0-76-0-6-0-0-0-0-0	2	0
DQB1	HLA-DQB1w0-6-0-0-0-109-0-7-0-1-0-2-0	8	4
DPB1	Nothing.binned	NA	NA
